,Loan_Date,Date_of_Birth,Region,Ask_Date,Monthly_Income,Mortgage_Leverage,Maturity,Interest_Rate,Monthly_Payment,Principal,Initial_Financing,House_Price,Left_to_Live,Sex,Has_a_car,Bank,Age,Education,CSP,Education_num,Marital_Status,Cell_Number,Credit_Score,Credit_Class
0,2015-10-07,1968-11-30,Grand Est,2015-09-12,1768.4896298962988,0.23262405029751612,15,0.0035374523875527798,411.3932206156323,72110.09069304755,0.10274086510877734,80367.07333360241,744.6991409577597,Male,nan,HSBC,46,Aucun diplôme (ou CEP),Anciennes professions intermédiaires,0,Married,0631502506,-15.633627612099993,0
1,2013-06-12,1966-09-11,Grand Est,2013-04-07,2615.742057420574,0.1439627254495619,25,0.0025269173678347007,376.56935565931025,109465.26236754695,0.09129350902187938,120462.72746409006,2462.686474927447,Male,nan,Société Générale,46,"Baccalauréat, brevet professionnel ou équivalent",Ouvriers agricoles,2,Married,0600625486,8.843897303691513,0
2,2013-07-23,1967-09-10,Ile-de-France,2013-07-07,3399.035660798707,0.35729344259532203,16,0.0030417505588874417,1214.4531527510353,227563.71929842388,0.18164789539831327,278075.55943072337,2520.9444962604657,Male,Yes,Crédit Agricole,45,"CAP, BEP ou équivalent",Ouvriers non qualifiés de type industriel,4,Not Married,0687742747,44.36926204973004,1
3,2015-12-22,1968-11-03,Auvergne-Rhone-Alpes,2015-09-12,3487.864394440308,0.17094439048909577,21,0.0017114128911471399,596.2308530162176,147571.92589045232,0.0,138202.00380201483,1491.418491850533,Female,nan,BNP Paribas,47,Brevet des collèges,?,3,Married,0641537863,-15.89037902409509,0
4,2014-04-15,1987-10-16,Bretagne,2013-12-29,1000.0,0.2511604089523719,22,0.0019502542398505552,251.1604089523719,64898.85753699891,0.18062506300299686,79205.32421317676,698.6067648972935,Male,nan,Société Générale,26,"Baccalauréat, brevet professionnel ou équivalent",Ouvriers qualifiés de type artisanal,2,Married,0607122087,17.78434721689436,0
5,2016-08-27,1964-07-01,Provence-Alpes-Cote Azure,2016-07-03,1673.132682833477,0.35324729698083746,25,0.003449966353625405,591.0295977012225,169854.30263418827,0.041331922037825986,177177.38447622553,1284.8953268888376,Male,nan,BNP Paribas,52,"Baccalauréat, brevet professionnel ou équivalent","Professeurs, professions scientifiques",2,Not Married,0656230722,37.600391981808485,0
6,2012-04-01,1982-03-28,Hauts-de-France,2011-12-20,1000.0,0.16349006121311815,10,0.0022167827959580274,163.49006121311817,19401.179963687828,0.014771675458055578,19692.064753322928,707.406446767284,Male,nan,Société Générale,30,"Baccalauréat, brevet professionnel ou équivalent",Artisans,2,Married,0667701046,11.594220878216277,0
7,2013-07-03,1972-08-13,Auvergne-Rhone-Alpes,2013-03-18,2467.014542296678,0.32305376380821194,25,0.0011733623555802968,796.978333258535,235609.3973954028,0.04758227325953257,247380.31514989436,1098.3098219287945,Female,Yes,BNP Paribas,40,Brevet des collèges,Anciens ouvriers,3,Not Married,0643881423,17.465885571669304,0
8,2010-05-12,1991-10-21,Ile-de-France,2010-01-15,1111.222560178415,0.27281936844046917,25,0.0015272713684129486,303.1630370646764,89228.93385423737,0.0,88149.51030220985,682.3453235874631,Male,nan,Société Générale,18,Brevet des collèges,"Professeurs, professions scientifiques",3,Married,0618651176,22.352962168370496,0
9,2015-08-21,1964-10-24,Normandie,2015-02-10,2005.6863468634685,0.29754161410948193,15,0.002186606615956739,596.7751530431067,105667.52884296885,0.0,96061.3898572444,764.329912006375,Female,nan,Crédit Agricole,50,Aucun diplôme (ou CEP),Employés administratifs d'entreprise,0,Not Married,0603675765,-0.3197092320261845,0
10,2013-08-14,1972-09-12,Ile-de-France,2013-07-28,3141.504504001303,0.20117425226429927,19,0.0017818434805958203,631.9898195773904,141671.48474527884,0.18100521258713098,172982.15681299553,2339.6115351837648,Female,nan,Societe Generale,40,Aucun diplôme (ou CEP),Ouvriers non qualifiés de type industriel,0,Not Married,0654420266,44.65372776548037,1
11,2011-02-14,1968-08-28,Grand Est,2010-07-16,1000.0,0.3710705541929974,20,0.0018482880410541384,0.0,87424.39165350597,0.16940175131121238,105254.72668828434,427.17243700894574,Female,nan,Société Générale,42,"Baccalauréat, brevet professionnel ou équivalent",Élèves ou étudiants,2,Married,0661217105,-8.190064820304258,0
12,2017-10-10,1967-08-31,Hauts-de-France,2017-08-08,1000.0,0.14210569370582055,15,0.0017849029509306763,142.10569370582056,25237.787983540235,0.0664002200086995,27032.769848955413,468.24966018862204,Male,nan,BNP Paribas,50,"CAP, BEP ou équivalent",Cadres administratifs et commerciaux d'entreprise,4,Not Married,0642050806,2.407333533495347,0
13,2016-02-12,1967-04-30,Ile-de-France,2015-11-10,3611.2415221631213,0.18665567608234263,25,0.0031423326176212483,674.0587278159855,194454.1816786749,0.19102066416666885,240369.77592062633,3306.1662581030005,Female,nan,HSBC,48,"Baccalauréat, brevet professionnel ou équivalent",Anciens agriculteurs exploitants,2,Not Married,0670800377,53.91567519944978,1
14,2017-07-12,1968-08-25,Ile-de-France,2017-05-10,6636.139340731462,0.2516277995347255,23,0.0028752319973266226,1669.8371397140818,445914.9045327583,0.09625713950246884,493409.0481082992,2000.0258423156624,Female,nan,Société Générale,48,Superieur à Bac+2,Personnes diverses sans activité professionnelle de moins de 60 ans,5,Not Married,0656461118,-1.558398549240792,0
15,2013-03-09,1985-11-27,Nouvelle-Aquitaine,2012-07-28,2430.6687116871167,0.16540891900343124,30,0.002214534427281652,402.05428405562884,140023.81502788386,0.0134862709669763,141938.02975771515,1277.9312626518633,Male,nan,Caisse d'Epargne,27,"Baccalauréat, brevet professionnel ou équivalent",Anciens ouvriers,2,Not Married,0680330846,33.744093421553906,0
16,2011-06-07,1989-11-30,Hauts-de-France,2011-03-01,2316.9642896428963,0.1073219575292428,15,0.002339280317537816,248.66114308982714,43978.62003131519,0.0,39980.56366483199,1969.4608573631433,Male,nan,BNP Paribas,21,Bac+2,Ouvriers non qualifiés de type artisanal,1,Not Married,0655782140,70.2779690495801,1
17,2015-08-12,1976-08-25,Ile-de-France,2015-07-19,4591.102591512006,0.3861318120934305,15,0.0013421467639834123,1772.770763167376,315890.6167667315,0.08645478824417685,345785.42222293897,1452.1658707787426,Male,nan,Société Générale,38,Aucun diplôme (ou CEP),Ouvriers qualifiés de type industriel,0,Not Married,0656207286,11.270524404116593,0
18,2014-09-28,1974-03-15,Nouvelle-Aquitaine,2014-09-10,1000.0,0.3850123240463127,19,0.002519212653314044,385.0123240463127,85706.28557769879,0.03340821765066804,88668.54358040055,653.4639041180612,Female,nan,Societe Generale,40,Superieur à Bac+2,Employés civils et agents de service de la fonction publique,5,Not Married,0610284862,38.215956836654044,0
19,2012-04-03,1964-03-10,Hauts-de-France,2011-09-12,1646.0822558225582,0.17323261377956556,20,0.0037355810552002393,285.15513167230523,65933.31580832861,0.03911265549465648,68617.11332275951,712.7312676916563,Male,nan,Société Générale,48,Aucun diplôme (ou CEP),"Anciens artisans, commerçants, chefs d'entreprises",0,Married,0671031383,-18.98219415781486,0
20,2017-01-04,1979-01-14,Provence-Alpes-Cote Azure,2016-09-07,1940.3417426804242,0.15397801735079322,24,0.0020751449016213302,298.76997452091473,83931.11877108592,0.1853817886830499,103031.23304277587,1032.7354574600965,Male,nan,Credit Agricole,37,"Baccalauréat, brevet professionnel ou équivalent","Anciens artisans, commerçants, chefs d'entreprises",2,Not Married,0660706350,23.40344361767165,0
21,2014-07-25,1982-05-14,Provence-Alpes-Cote Azure,2014-05-28,2214.346917093545,0.1785153960879164,10,0.0017551646994016115,395.29501698101075,47018.13381369403,0.0565081056456711,49834.16825840408,1186.2534111891596,Male,nan,BNP Paribas,32,Brevet des collèges,Techniciens,3,Not Married,0636543500,29.84787502657887,0
22,2012-10-17,1985-06-13,Hauts-de-France,2012-06-08,1000.0,0.24628153737560735,25,0.0027872204423523457,246.28153737560734,71361.06819084988,0.0,68838.84595150597,657.8616011988706,Male,Yes,Societe Generale,27,"Baccalauréat, brevet professionnel ou équivalent",Anciennes professions intermédiaires,2,Not Married,0640523676,47.493802944613805,1
23,2014-04-25,1968-08-19,Normandie,2014-01-13,1000.0,0.324014729553146,20,0.0008228670624547111,324.01472955314597,77124.51790785963,0.2033753039084808,96814.1187264916,571.399854577418,Male,nan,Crédit Agricole,45,"Baccalauréat, brevet professionnel ou équivalent",Commerçants et assimilés,2,Not Married,0600432207,23.179624047794704,0
24,2012-02-16,1983-01-18,Occitanie,2011-09-11,1000.0,0.3282291616719366,20,0.002379181317290542,328.2291616719366,76922.7302197372,0.06834113820698007,82565.33949743783,691.8150657688243,Female,nan,Société Générale,29,"Baccalauréat, brevet professionnel ou équivalent",Anciens employés,2,Married,0655738661,16.756824842057853,0
25,2010-03-21,1989-08-21,Ile-de-France,2009-12-17,3223.9508765253036,0.3997486389449918,10,0.0030913447655599078,1288.7699749165033,152267.10993722238,0.0,138424.64539747487,1555.0000146886998,Female,nan,Société Générale,20,Superieur à Bac+2,Anciennes professions intermédiaires,5,Married,0615801370,20.361857183938113,0
26,2011-12-24,1986-11-14,Provence-Alpes-Cote Azure,2011-08-27,1541.8193471199504,0.33877080496296674,10,0.002089482536789892,522.3233813313014,62023.168072394474,0.15954230974641537,73796.89518181542,265.75391504080494,Female,nan,Société Générale,25,Bac+2,"Professeurs, professions scientifiques",1,Not Married,0637360243,4.433471913289601,0
27,2012-05-28,1975-02-03,Normandie,2012-01-17,1521.552210522105,0.3602480617237168,15,0.00392909866512947,548.1362346520251,95798.11443432946,0.0,93242.16725042343,1009.7617105582043,Female,Yes,Crédit Agricole,37,Superieur à Bac+2,Personnels des services directs aux particuliers,5,Not Married,0600645131,42.178589748149605,1
28,2012-06-14,1990-07-28,Normandie,2012-03-08,2655.5539355393553,0.18132235646142497,22,0.0018501610007298046,481.51129730240694,124557.22531028753,0.12430722514343673,142238.49834856723,1976.0373068343579,Female,nan,BNP Paribas,21,Superieur à Bac+2,Anciennes professions intermédiaires,5,Married,0655820856,25.148614739189092,0
29,2016-08-23,1975-09-25,Ile-de-France,2016-08-12,2844.291724563687,0.21816575033128574,30,0.0021360355067381923,620.5270382505034,216364.03102375,0.018704658107835948,220488.18718180215,2090.7985513287013,Male,nan,BNP Paribas,40,"Baccalauréat, brevet professionnel ou équivalent",Ingénieurs et cadres techniques d'entreprise,2,Not Married,0602844284,43.805736065505116,1
30,2018-01-30,1968-08-06,Ile-de-France,2017-10-26,8271.109351019208,0.2765858888666188,20,0.0021052207582757283,2287.6721317646497,537597.1388560715,0.07635164750890955,582036.5915298455,5976.653208660142,Male,nan,Credit Agricole,49,"CAP, BEP ou équivalent",Cadres administratifs et commerciaux d'entreprise,4,Married,0672233172,6.338492130140786,0
